日時,PaperCutユーザ名,金額,ポイントチャージ,注文ID,チャージステータス
2025-07-11 11:41:20,azam,300,100,e451d709a5034d3f87cbd20f097253b6,Charge Success
2025-07-15 11:13:28,azam,600,200,970e3939c0d748bcaffc1f3a57c3fc99,Charge Success
2025-07-15 11:20:09,azam,900,300,73f479a446814d4d964936650f900eae,Charge Success
2025-07-15 11:29:34,azam,300,100,c55f6b34ba3b434aa27ed4c9b5145ba0,Charge Success
2025-07-15 13:24:46,azam,300,100,cc6665def0fc45d4bc3466b93bb802e6,Waiting for Payment
2025-07-17 14:00:46,azam,300,100,e86a6d692d0049ed9bbc54dc411815c7,Charge Success
2025-07-17 17:16:33,azam,600,200,fb6b57a544ab47c9af701adf5335ecd1,Charge Success
2025-07-31 10:32:07,azam,400,200,abc506ed7df445a490f5ea16ba31786f,Charge Success
2025-07-31 10:58:51,azam,600,300,87af8a55c42544188f46d7f7b7685975,Charge Success
2025-07-31 14:14:50,azam,800,400,289456a82cb84f31ac93c918276bbb14,Waiting for Payment
2025-07-31 14:15:02,azam,400,200,9d710d1f38eb4654ad7e73c20865ada4,Waiting for Payment
2025-07-31 14:15:37,azam,600,300,55eb9d31165b46adb2f9ced82950210b,Waiting for Payment
2025-07-31 14:16:59,azam,400,200,64cd66f6a5344805a5f01d34d42d5d3a,Charge Success
2025-07-31 14:19:54,azam,800,400,5dd5a71a3541498291dd049c3ed1e07d,Charge Success
2025-07-31 14:30:29,azam,200,100,62796512632349aabbf86d1560b7e8ea,Charge Success
2025-07-31 14:32:23,azam,200,100,37a4af5d0c8c48bbb1530f32f81efadf,Charge Success
2025-07-31 14:45:14,azam,1000,500,799284873e8b451cb5b4a317c5b0322d,Charge Success
2025-07-31 14:57:01,azam,400,200,ef6d8ea401a74d4f81cccc536ab7ab7e,Charge Success
2025-07-31 15:26:30,azam,200,100,486075ced81f4a78a721166796e125b5,Waiting for Payment
2025-07-31 15:35:28,azam,200,100,f1933d2ea0b04f498de93f0a9a26e7c9,Waiting for Payment
2025-08-01 09:21:23,azam,400,200,508a1dee2c3a4dce999ee96149dfee47,Charge Success
2025-10-20 14:21:10,azam,200,100,1ec5eb6496df44a28708e2979fac0a54,Waiting for Payment
2025-10-20 14:21:34,azam,600,300,110b454d1c944e65b7a2503a8fbe1a79,Waiting for Payment
2025-10-20 14:29:48,azam,800,400,74e71050a47e4f949878c1f0b7b8295c,Waiting for Payment
2025-10-20 14:29:57,azam,800,400,40ae1a0493f3430eaf3e43f22d11671c,Waiting for Payment
2025-10-20 14:32:48,azam,600,300,00d2b5a1213b4307876659577a8548b2,Charge Success
2025-10-20 14:33:39,azam,200,100,558130de2da44c6fa04c9eb4cc1ba24b,Charge Success
2025-10-20 14:35:40,azam,200,100,a0b7c0591dd543c984343d75a34522a7,Waiting for Payment
2025-10-20 14:36:01,azam,200,100,3df1c46c67a44e0ea5a5a65e69f5a998,Waiting for Payment
2025-10-20 14:36:09,azam,200,100,a6085db829954a1b97bb09f314e89589,Waiting for Payment
2025-10-20 14:37:15,azam,200,100,81a8020b36e149eaaef057d2c4a4e2b1,Waiting for Payment
2025-10-20 14:45:45,azam,200,100,2826651bea344578872d3d3255462ee9,Waiting for Payment
2025-10-20 14:46:08,azam,200,100,ff1830e542a84902832232d1cd935daa,Waiting for Payment
2025-10-20 14:47:04,azam,200,100,05b682b7fe464cc2975d2c22833eecd9,Waiting for Payment
2025-10-20 14:47:15,azam,200,100,ad46a18710214913b878d53f2ed37a50,Waiting for Payment
2025-10-20 14:47:27,azam,200,100,a94a79e9ac7c458487b7ff510ecaf76b,Waiting for Payment
2025-10-20 14:47:39,azam,200,100,2ecf8ba32ca443a8834894d674c0a62c,Waiting for Payment
2025-10-20 14:52:00,azam,200,100,6cc23a643aa8474387d36635ca2ae6b0,Waiting for Payment
2025-10-20 14:52:12,azam,200,100,d38b530aae3a47d8a55baec32b55e11b,Waiting for Payment
2025-10-20 14:52:27,azam,200,100,17225d653d504518beb945d0148e2797,Waiting for Payment
2025-10-20 14:52:41,azam,200,100,e3ad460e66fd480ca0ef365a7cf7361d,Waiting for Payment
2025-10-20 14:52:55,azam,200,100,d4bd7aec5ceb42ca85b797760886978e,Waiting for Payment
2025-10-20 14:53:03,azam,200,100,c01c7a6048934112838514fd033a70f4,Waiting for Payment
2025-10-20 14:53:13,azam,200,100,7f882c16721240beb3e01b4d0fc7de5a,Waiting for Payment
2025-10-20 14:53:59,azam,200,100,0bccc9dcee7444c38dd7ba7e3bd641c0,Waiting for Payment
2025-10-20 14:54:06,azam,200,100,f0ca3a1d56aa40148fd8a231d38a4c2e,Waiting for Payment
2025-10-20 16:29:24,azam,200,100,7b9516acbbb5428892183f08c6ba3189,Waiting for Payment
2025-10-20 16:38:20,azam,200,100,7cdec65308c548da819990ceb1ce2f34,Waiting for Payment
2025-10-20 16:38:44,azam,200,100,1a793db4e9d14fe7b12595ca1c4135d0,Waiting for Payment
2025-10-20 16:42:37,azam,200,100,order_33952827c0ca4016baa16c1e1330d9c0,Waiting for Payment
2025-10-20 16:46:44,azam,200,100,2dd1567234ae440683552a990dbdda2e,Waiting for Payment
2025-10-20 16:46:54,azam,200,100,ef155569877646aeb36f8ac35c0691ce,Waiting for Payment
2025-10-20 16:47:02,azam,200,100,32518ddc2b844ed4961be1fbf588aa53,Waiting for Payment
2025-10-20 16:47:19,azam,200,100,2e6c6b8bfef04c90968b6d90b0ef1d30,Waiting for Payment
2025-10-20 16:47:31,azam,200,100,195dad0236b74a01ae7752e8f48ce6bf,Waiting for Payment
2025-10-22 17:02:30,azam,600,300,46ce9ab3065f4d5196109f1b86dbf0ec,Waiting for Payment
